contrato;objeto;portal_de_compras;data_assinatura;inicio_execucao;termino_execucao;situacao;empresa_principal;cnpj;orgao_entidade_contratante;setor;modalidade_de_licitacao;regime_de_execucao;classificacao;natureza_do_contrato;obras_do_contrato;municipios;dias_originais;dias_aditados;dias_paralisados;dias_atuais;valor_inicial_do_contrato;valor_em_aditivos;valor_total_do_contrato;valor_medido_precos_iniciais;valor_medido_reajuste;total_medido;saldo_contratual;percentual_de_execucao_do_contrato
9394914/2023;ELABORAÇÃO DE PROJETOS EXECUTIVOS PARA REFORMA GERAL E AMPLIAÇÃO DA EDIFICAÇÃO E.DR. LAURO CORREA DO AMARAL DE GUAPE;126199904/23;2023-09-28;2023-11-06 00:00:00;2026-10-06 00:00:00;Andamento;G P MORENO;7623936000118,0;SECRETARIA DE ESTADO DE EDUCAÇÃO;DIRETORIA DE OBRAS DE EDIFICAÇÕES E INFRAESTRUTURA;TOMADA DE PREÇOS;EMPREITADA POR PREÇO UNITÁRIO;Projetos Executivos;Obra Edificação - Consultoria , Fiscalização e Projeto de Obras; Obra 1 - ELABORAÇÃO DE PROJETOS EXECUTIVOS PARA REFORMA GERAL E AMPLIAÇÃO DA EDIFICAÇÃO DA ESCOLA DR. LAURO CORREA DO AMARAL  NO MUNICÍPIO DE GUAPÉ; Obra 1 - Guapé;270,0;670,0;126,0;1066,0;144599,39;0,0;144599,39;49583,24;3956,67;53539,91;95016,15;0,342900754975522
9396596/2023;EXECUÇÃO DE OBRA DE REFORMA NO PRÉDIO DO CONSELHO DOS CONTRIBUINTES DO ESTADO DE MINAS GERAIS - CCMG, EM BELO HORIZONTE;119400100223;2023-10-24;2023-11-10 00:00:00;2025-07-16 00:00:00;Rescindido;ETERA CONSTRUCOES E I LTDA;4947516000107,0;SECRETARIA DE PLANEJAMENTO GESTÃO E FIINANÇAS;DIRETORIA DE OBRAS DE EDIFICAÇÕES E INFRAESTRUTURA;TOMADA DE PREÇOS;EMPREITADA POR PREÇO UNITÁRIO;Construção e Reforma;Obra Edificação - Reforma e/ou Ampliação; Obra 1 - EXECUÇÃO DE OBRA DE REFORMA NO PRÉDIO DO CONSELHO DOS CONTRIBUINTES DO ESTADO DE MINAS GERAIS - CCMG; Obra 1 - Belo Horizonte;365,0;120,0;130,0;615,0;1567567,27;317742,84;1885310,11;1017786,99;51117,6;1068904,59;867523,12;0,539851234341495
9396616/2023;EXECUÇÃO DE OBRAS PARA IMPLANTAÇÃO DOS ABRIGOS DE ÔNIBUS E CAMINHOS DE PEDESTRES NA CIDADE ADMINISTRATIVA ;150118400123;2023-10-23;2023-11-20 00:00:00;2026-01-25 00:00:00;Paralisado;CONSTRUTORA GUIMARÃES NOVAES EIRELI;65313595000180,0;SECRETARIA DE PLANEJAMENTO GESTÃO E FIINANÇAS;DIRETORIA DE OBRAS DE EDIFICAÇÕES E INFRAESTRUTURA;CONCORRÊNCIA ELETRÔNICA;EMPREITADA POR PREÇO UNITÁRIO;Construção e Reforma;Obra Edificação - Construção; Obra 1 - EXECUÇÃO DE OBRAS PARA IMPLANTAÇÃO DOS ABRIGOS DE ÔNIBUS E CAMINHOS DE PEDESTRES NA CIDADE ADMINISTRATIVA DO GOVERNO DE MINAS GERAIS (CAMG); Obra 1 - Belo Horizonte;365,0;259,0;174,0;798,0;8543389,13;1651057,63;10194446,76;9699377,49;679108,08;10378485,57;495069,27;0,951437357842457
 9399168/2023;EXEC.OBRAS DE CAPTAÇÃO E TRATAMENTO DE ÁGUA (ETA), PARA ABASTECIMENTO DA PENITENCIÁRIA FRANCISCO FLORIANO DE PAULA DE GV;145160600523;2023-11-16;2023-12-06 00:00:00;2025-08-16 00:00:00;Execução concluída;ILCON MONT E FAB PEC FIB VIDRO;33968122000125,0;SECRETARIA DE ESTADO DE JUSTIÇA E SEGURANÇA PÚBLICA;DIRETORIA DE OBRAS DE EDIFICAÇÕES E INFRAESTRUTURA;CONCORRÊNCIA ELETRÔNICA;EMPREITADA POR PREÇO UNITÁRIO;Construção e Reforma;Obra Edificação - Reforma e/ou Ampliação; Obra 1 - EXECUÇÃO DAS OBRAS DE CAPTAÇÃO E TRATAMENTO DE ÁGUA (ETA), PARA ABASTECIMENTO DA PENITENCIÁRIA FRANCISCO FLORIANO DE PAULA; Obra 1 - Governador Valadares;540,0;30,0;50,0;620,0;3701793,35;472554,55;4174347,9;4147084,2;343770,09;4490854,29;27263,7;0,993468752328957
9406117/2023;EXEC.SERV.INTERVENÇÃO EM ÁREA CONTAMINADA POR MERCÚRIO, COM REMOÇÃO DO SOLO CONTAMINADO EM DESCOBERTO;20911490123;2023-12-22;2024-01-15 00:00:00;2025-10-02 00:00:00;Execução concluída;ENGESOLVE SOLUÇÕES AMBIENTAIS INTEGRADAS LTDA;23559934000163,0;FUNDAÇÃO ESTADUAL DE MEIO AMBIENTE;DIRETORIA DE OBRAS DE EDIFICAÇÕES E INFRAESTRUTURA;CONCORRÊNCIA ELETRÔNICA;EMPREITADA POR PREÇO UNITÁRIO;Descontaminação de Área;Obra Edificação - Construção; Obra 1 - EXECUÇÃO DOS SERVIÇOS DE INTERVENÇÃO EM ÁREA CONTAMINADA POR MERCÚRIO, LOCALIZADA EM SERRA DA GRAMA, NO MUNICÍPIO DE DESCOBERTO; Obra 1 - Descoberto;540,0;0,0;87,0;627,0;4865327,2;-472,43;4864854,77;4674191,08;-36359,27;4637831,81;190663,69;0,960807937952072
9406250/2023;EXECUÇÃO DAS OBRAS DE REFORMA E ADEQUAÇÃO DO PRIMEIRO SUBSOLO DO PRÉDIO DO  TJMG PARA AVRIGAR CIA/BH;145160600823;2023-12-21;2024-01-10 00:00:00;2025-01-03 00:00:00;Execução concluída;ENGEBANC E CONSTRUCOES LTDA;6911899000180,0;SECRETARIA DE ESTADO DE JUSTIÇA E SEGURANÇA PÚBLICA;DIRETORIA DE OBRAS DE EDIFICAÇÕES E INFRAESTRUTURA;TOMADA DE PREÇOS;EMPREITADA POR PREÇO UNITÁRIO;Ampliação e Reforma;Obra Edificação - Reforma e/ou Ampliação; Obra 1 - OBRAS DE REFORMA E ADEQUAÇÃO DO PRIMEIRO SUBSOLO DO PRÉDIO DO TRIBUNAL DE JUSTIÇA DO ESTADO DE MG- TJMG PARA ABRIGAR O CENTRO INTEGRADO - CIA/BH; Obra 1 - Belo Horizonte;360,0;0,0;0,0;360,0;981778,4;0,0;981778,4;972152,78;30334,06;1002486,84;9625,62;0,990195730523304
9408625/2024;ELABPROJ.EXECUT.COMPLEMENT.ADEQUAÇÃO E REGULARIZAÇÃO PCIP DA FUNED EM BH;ÑINFORMADO;2024-01-05;2024-02-22 00:00:00;2026-06-04 00:00:00;Andamento;ZTRIX ENGENHARIA LTDA;7686304000101,0;FUNDAÇÃO EZEQUIEL DIAS;DIRETORIA DE OBRAS DE EDIFICAÇÕES E INFRAESTRUTURA;TOMADA DE PREÇOS;EMPREITADA POR PREÇO UNITÁRIO;Projetos Executivos;Obra Edificação - Consultoria , Fiscalização e Projeto de Obras; Obra 1 - ELABORAÇÃO DE PROJETOS EXECUTIVOS E COMPLEMENTARES PARA ADEQUAÇÃO E REGULARIZAÇÃO DO SISTEMA DE PCIP DO COMPLEXO PERTENCENTE A FUNED, UNIDADE SEDE BH; Obra 1 - Belo Horizonte;420,0;365,0;49,0;834,0;269217,53;0,0;269217,53;65329,87;4730,06;70059,93;203887,66;0,242665735771367
9408626/2024;LOTE 2 - ELABORAÇÃO DE PROJETOS EXECUTIVOS E COMPLEMENTARES PARA ADEQUAÇÃO E REGULARIZAÇÃO PSCIP DA FAZENDA SÃO JUDAS TADEU, BETIM;ÑINFORMADO;2024-01-08;2024-03-07 00:00:00;2026-05-25 00:00:00;Andamento;FARIA FERNANDES ENGENHARIA LTDA;19457228000133,0;FUNDAÇÃO EZEQUIEL DIAS;DIRETORIA DE OBRAS DE EDIFICAÇÕES E INFRAESTRUTURA;TOMADA DE PREÇOS;EMPREITADA POR PREÇO UNITÁRIO;Projetos Executivos;Obra Edificação - Consultoria , Fiscalização e Projeto de Obras; Obra 1 - LOTE 2 - ELABORAÇÃO DE PROJETOS EXECUTIVOS E COMPLEMENTARES PARA ADEQUAÇÃO E REGULARIZAÇÃO DO PCIP DA UNIDADE FAZENDA SÃO JUDAS TADEU, BETIM; Obra 1 - Betim;360,0;450,0;0,0;810,0;75139,77;0,0;75139,77;50707,36;3866,34;54573,7;24432,41;0,674840500576459
9408672/2024;SERVIÇOS DE MANUTENÇÃO CORRETIVA E REPAROS NO PRÉDIO DA AGÊNCIA REGIONAL DO IPSEMG DE UBÁ;201129100323;2024-01-12;2024-02-19 00:00:00;2024-11-14 00:00:00;Execução concluída;CONSTRUTORA COUTO ALMEIDA LTDA - EPP;18327016000179,0;INSTITUTO DE PREVIDÊNCIA DOS SERVIDORES DO ESTADO DE MINAS GERAIS;DIRETORIA DE OBRAS DE EDIFICAÇÕES E INFRAESTRUTURA;PREGÃO ELETRÔNICO;EMPREITADA POR PREÇO UNITÁRIO;Ampliação e Reforma;Obra Edificação - Reforma e/ou Ampliação; Obra 1 - SERVIÇOS DE MANUTENÇÃO CORRETIVA E REPAROS NO PRÉDIO DA AGÊNCIA REGIONAL DO IPSEMG DE UBÁ; Obra 1 - Ubá;180,0;90,0;0,0;270,0;402000,0;100423,27;502423,27;439500,18;13480,06;452980,24;62923,09;0,874760796807839
9408738/2024;2º ETAPA DA REFORMA E AMPLI.DAS EDIFICAÇÕES DO PARQUE ESTADUAL PICO DO ITAMBÉ E FAZENDA SÃO JOÃO-SANTO ANTONIO DO ITAMBE;210129300124;2024-01-24;2024-03-21 00:00:00;2025-12-11 00:00:00;Execução concluída;MÓDULOS CONSTRUÇÕES E EMPREENDIMENTOS LTDA ME;10246424000194,0;INSTITUTO ESTADUAL DE FLORESTAS;DIRETORIA DE OBRAS DE EDIFICAÇÕES E INFRAESTRUTURA;CONCORRÊNCIA ELETRÔNICA;EMPREITADA POR PREÇO UNITÁRIO;Ampliação e Reforma;Obra Edificação - Reforma e/ou Ampliação; Obra 1 - 2º ETAPA DA REFORMA E AMPLIAÇÃO DAS EDIFICAÇÕES QUE COMPÕEM O PARQUE ESTADUAL PICO DO ITAMBÉ E FAZENDA SÃO JOÃO, SANTO ANTÔNIO DO ITAMBÉ/MG; Obra 1 - Santo Antônio do Itambé;360,0;180,0;91,0;631,0;2219262,99;158258,64;2377521,63;2331571,4;174674,94;2506246,34;45950,23;0,980673054907181
9409724/2024;ELABORAÇÃO DE PROJETOS EXECUTIVOS PARA REFORMA E RESTAURAÇÃO DO PRÉDIO DA ESCOLA ESTADUAL FRANCISCA BOTELHO EM PITANGUI;Não Disponível;2024-02-02;2024-04-01 00:00:00;2025-02-19 00:00:00;Execução concluída;FARIA FERNANDES ENGENHARIA LTDA;19457228000133,0;SECRETARIA DE ESTADO DE EDUCAÇÃO;DIRETORIA DE OBRAS DE EDIFICAÇÕES E INFRAESTRUTURA;TOMADA DE PREÇOS;EMPREITADA POR PREÇO UNITÁRIO;Projetos Executivos;Obra Edificação - Consultoria , Fiscalização e Projeto de Obras; Obra 1 - ELABORAÇÃO DE PROJETOS EXECUTIVOS PARA REFORMA E RESTAURAÇÃO DO PRÉDIO DA ESCOLA ESTADUAL FRANCISCA BOTELHO, NO MUNICÍPIO DE PITANGUI; Obra 1 - Pitangui;270,0;0,0;55,0;325,0;307516,32;0,0;307516,32;52014,1;2174,16;54188,26;255502,22;0,169142567783069
9409758/2024;ELABORAÇÃO DE ANTEPROJETO E PROJETO EXECUTIVO PARA REFORMA E CONSTRUÇÃO DA APA ESTADUAL PARQUE FERNÃO DIAS;ÑINFORMADO;2024-02-06;2024-03-04 00:00:00;2026-01-15 00:00:00;Andamento;INVERT ENGENHARIA LTDA;17576333000166,0;INSTITUTO ESTADUAL DE FLORESTAS;DIRETORIA DE OBRAS DE EDIFICAÇÕES E INFRAESTRUTURA;TOMADA DE PREÇOS;EMPREITADA POR PREÇO UNITÁRIO;Projetos Executivos;Obra Edificação - Consultoria , Fiscalização e Projeto de Obras; Obra 1 - ELABORAÇÃO DE ANTEPROJETO E PROJETO EXECUTIVO PARA REFORMA E CONSTRUÇÃO DA APA ESTADUAL PARQUE FERNÃO DIAS; Obra 1 - Contagem;240,0;300,0;143,0;683,0;297280,08;-699,04;296581,04;288709,66;12850,83;301560,49;7871,38;0,973459598091638
9410296/2024;EXEC.SISTEMA DE DRENAGEM PLUVIAL E SERV.CORRELATOS P/INTERVENÇÕES EM ÁREA DE RISCO/ENCOSTAS - SETOR 20 DE OURO PRETO;130101702223;2024-02-20;2024-03-13 00:00:00;2024-07-31 00:00:00;Execução concluída;CONSTRUTORA AGD LTDA;10651663000120,0;SECRETARIA DE ESTADO DE INFRAESTRUTURA E MOBILIDADE;DIRETORIA DE OBRAS DE EDIFICAÇÕES E INFRAESTRUTURA;TOMADA DE PREÇOS;EMPREITADA POR PREÇO UNITÁRIO;Construção e Reforma;Obra Edificação - Construção; Obra 1 - EXEC.SISTEMA DE DRENAGEM PLUVIAL E SERV.CORRELATOS P/INTERVENÇÕES EM ÁREA DE RISCO/ENCOSTAS - SETOR 20 DE OURO PRETO; Obra 1 - Ouro Preto;90,0;30,0;21,0;141,0;626501,26;101982,51;728483,77;715839,04;11140,39;726979,43;12644,73;0,982642399843719
9411210/2024;EXECUÇÃO DAS OBRAS DE REFORMA E RESTAURAÇÃO DO PRÉDIO DA ESCOLA ESTADUAL DOUTOR ARTHUR BERNARDES, EM SETE LAGOAS;126199901823;2024-02-23;2024-05-15 00:00:00;2026-07-19 00:00:00;Andamento;BRASCOEMP BRASIL CONSTRUÇÕES E EMPREENDIMENTOS LTDA;2997091000107,0;SECRETARIA DE ESTADO DE EDUCAÇÃO;DIRETORIA DE OBRAS DE EDIFICAÇÕES E INFRAESTRUTURA;CONCORRÊNCIA ELETRÔNICA;EMPREITADA POR PREÇO UNITÁRIO;Ampliação e Reforma;Obra Edificação - Reforma e/ou Ampliação; Obra 1 - EXECUÇÃO DAS OBRAS DE REFORMA E RESTAURAÇÃO DO PRÉDIO DA ESCOLA ESTADUAL DOUTOR ARTHUR BERNARDES, SETE LAGOAS/MG; Obra 1 - Sete Lagoas;720,0;0,0;76,0;796,0;9557051,46;442047,95;9999099,41;2400510,52;222813,83;2623324,35;7598588,89;0,240072672704831
9411229/2024;REFORMA DAS E.E. INDÍGENAS MAXAKALI EM LADAÍNHA, TOPÁZIO (TEÓFILO OTONI), SANTA HELENA DE MINAS E BERTÓPOLIS;126199902223;2024-02-23;2024-05-07 00:00:00;2026-04-26 00:00:00;Andamento;E F PROJETOS E ENGENHARIA LTDA;42927327000153,0;SECRETARIA DE ESTADO DE EDUCAÇÃO;SUBSECRETARIA DE EDIFICAÇÕES;CONCORRÊNCIA ELETRÔNICA;EMPREITADA POR PREÇO UNITÁRIO;Ampliação e Reforma;Obra Edificação - Reforma e/ou Ampliação; Obra 1 - REFORMA DAS E.E. INDÍGENAS MAXAKALI EM LADAÍNHA, TOPÁZIO (TEÓFILO OTONI), SANTA HELENA DE MINAS E BERTÓPOLIS; Obra 1 - Minas Gerais;720,0;0,0;0,0;720,0;9874915,48;-1632,97;9873282,51;3863456,79;293909,87;4157366,66;6009825,72;0,391304187445964
9413719/2024;EXECUÇÃO DOS SERVIÇOS DE CONCLUSÃO DA 2ª ETAPA DA OBRA DO HOSPITAL REGIONAL DE GOVERNADOR VALADARES,.;13200430124;2024-03-01;2024-03-12 00:00:00;2026-03-01 00:00:00;Andamento;CONSÓRCIO GUIMARÃES 02;54019107000100,0;SECRETARIA DE ESTADO DE SAÚDE;DIRETORIA DE OBRAS DE EDIFICAÇÕES E INFRAESTRUTURA;RDC;EMPREITADA POR PREÇO UNITÁRIO;Construção e Reforma;Obra Edificação - Construção; Obra 1 - EXECUÇÃO DOS SERVIÇOS DE CONCLUSÃO DA 2ª ETAPA DA OBRA DO HOSPITAL REGIONAL DE GOVERNADOR VALADARES, EXECUÇÃO DO TREVO E DA ROTATÓRIA; Obra 1 - Governador Valadares;720,0;0,0;0,0;720,0;83925145,89;5929392,04;89854537,93;28502102,34;4629030,7;33131133,04;61352435,59;0,317202703353771
9414602/2024;EXECUÇÃO DAS OBRAS DE REFORMA E RESTAURAÇÃO DO PRÉDIO DA ESCOLA ESTADUAL DOM PEDRO II EM OURO PRETO;126199902623;2024-03-18;2024-05-02 00:00:00;2026-10-18 01:00:00;Andamento;CENÁRIO ENGENHARIA LTDA;29332712000190,0;SECRETARIA DE ESTADO DE EDUCAÇÃO;SUBSECRETARIA DE EDIFICAÇÕES;CONCORRÊNCIA ELETRÔNICA;EMPREITADA POR PREÇO UNITÁRIO;Ampliação e Reforma;Obra Edificação - Reforma e/ou Ampliação; Obra 1 - EXECUÇÃO DAS OBRAS DE REFORMA E RESTAURAÇÃO DO PRÉDIO DA ESCOLA ESTADUAL DOM PEDRO II, OURO PRETO/MG; Obra 1 - Ouro Preto;540,0;360,0;0,0;900,0;7929153,03;260967,02;8190120,05;1519436,93;115618,91;1635055,84;6670683,12;0,185520715291591
9418879/2024;SUPERVISÃO, MONITORAMENTO, DAS RODOVIAS CONCEDIDAS LOTE 02;Não Disponível;2024-04-09;2024-04-16 00:00:00;2026-04-15 00:00:00;Execução concluída;CONSOL ENGENHEIROS CONSULTORES LTDA;17210063000175,0;SECRETARIA DE ESTADO DE INFRAESTRUTURA E MOBILIDADE;SECRETARIA DE ESTADO DE INFRAESTRUTURA E MOBILIDADE;RDC;EMPREITADA POR PREÇO UNITÁRIO;Consultoria / Assessoramento;Natureza continuada e/ou conserva; Obra 1 - SUPERVISÃO E MONITORAMENTO DAS RODOVIAS CONCEDIDAS DO LOTE 02; Obra 1 - Pouso Alegre;365,0;365,0;0,0;730,0;2299897,16;545885,11;2845782,27;2484958,57;272054,55;2757013,12;360823,7;0,873207552171586
